Species,Genus,Family,SuperFamily,Order,Class,Major,J_per_mgWM,Mobility_code,Food_code
Jussiaea repens,Jussiaea,Onagraceae,Myrtales,Rosidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Potamogeton linguatus,Potamogeton,Potamogetonaceae,Najadales,Alismatidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Nymphaea alba,Nymphaea,Nymphaeaceae,Nymphaeales,Magnoliidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Callitriche stagnalis,Callitriche,Callitrichaceae,Callitrichales,Asteridae,Magnoliopsida,Tracheophyta,,1.0,3.0
Hydrocotyle ranunculoides,Hydrocotyle,Apiaceae,Apiales,Rosidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Egeria densa,Egeria,Hydrocharitaceae,Hydrocharitales,Alismatidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Utricularia tenuis,Utricularia,Lentibulariaceae,Scrophulariales,Asteridae,Magnoliopsida,Tracheophyta,,1.0,3.0
Potamogeton lucens,Potamogeton,Potamogetonaceae,Najadales,Alismatidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Lemna valdiviana,Lemna,Lemnaceae,Arales,Arecidae,Magnoliopsida,Tracheophyta,,1.0,3.0
Nereis succinea,Nereis,Nereididae,Phyllodocida,Aciculata,Polychaeta,Annelida,,1.0,3.0
Phoxinus phoxinus,Phoxinus,Cyprinidae,Cypriniformes,Ostariophysi,Teleostei,Osteichthyes,6.426000000000001,3.0,3.0
Gasterosteus aculeatus,Gasterosteus,Gasterosteidae,Gasterosteiformes,Acanthopterygii,Teleostei,Osteichthyes,4.86,3.0,3.0
Gasterosteus aculeatus,Gasterosteus,Gasterosteidae,Gasterosteiformes,Acanthopterygii,Teleostei,Osteichthyes,5.22,3.0,3.0
Mya arenaria,Mya,Myidae,Myoida,Heterodonta,Bivalvia,Mollusca,3.2710464,0.0,1.0
Polinices duplicatus,Polinices,Naticidae,Neotaenioglossa,Neotaenioglossa,Gastropoda,Mollusca,6.97089168,0.0,3.0
Caulerpa racemosa,Caulerpa,Caulerpaceae,Caulerpales,Caulerpales,Chlorophyceae,Chlorophyta,,0.0,0.0
Cladophora monumentalis,Cladophora,Cladophoraceae,Cladophorales,Cladophorales,Chlorophyceae,Chlorophyta,,0.0,0.0
Chaetomorpha linum,Chaetomorpha,Cladophoraceae,Cladophorales,Cladophorales,Chlorophyceae,Chlorophyta,,0.0,0.0
Codium dwarkense,Codium,Codiaceae,Caulerpales,Caulerpales,Chlorophyceae,Chlorophyta,,0.0,0.0
Enteromorpha compressa,Enteromorpha,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,,0.0,0.0
Enteromorpha intestinalis,Enteromorpha,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,,0.0,0.0
Halimeda tuna,Halimeda,Codiaceae,Caulerpales,Caulerpales,Chlorophyceae,Chlorophyta,,0.0,0.0
Ulva fasciata,Ulva,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,,0.0,0.0
Ulva lactuca,Ulva,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,,0.0,0.0
Ulva rigida,Ulva,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,,0.0,0.0
Cystoseira indica,Cystoseira,Cystoseiraceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,,0.0,0.0
Colpomenia sinuosa,Colpomenia,Scytosiphonaceae,Scytosiphonales,Scytosiphonales,Phaeophyceae,Phaeophyta,,0.0,0.0
Dictyota atomaria,Dictyota,Dictyotaceae,Dictyonales,Dictyonales,Phaeophyceae,Phaeophyta,,0.0,0.0
Hydroclathrus clathratus,Hydroclathrus,Scytosiphonaceae,Scytosiphonales,Scytosiphonales,Phaeophyceae,Phaeophyta,,0.0,0.0
Padina gymnospora,Padina,Dictyotaceae,Dictyonales,Dictyonales,Phaeophyceae,Phaeophyta,,0.0,0.0
Sargassum myriocystum ,Sargassum,Sargassaceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,,0.0,0.0
Sargassum swartzii,Sargassum,Sargassaceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,,0.0,0.0
Sargassum tenerrimum,Sargassum,Sargassaceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,,0.0,0.0
Sargassum wightii,Sargassum,Sargassaceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,,0.0,0.0
Amphiroa anceps,Amphiroa,Corallinaceae,Cryptonemiales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Gelidiella acerosa,Gelidiella,Gelidiellaceae,Nemaliales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Gracilaria corticata,Gracilaria,Gracilariaceae,Gigartinales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Gracilaria lichenoides ,Gracilaria,Gracilariaceae,Gigartinales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Halymenia venusta,Halymenia,Cryptonemiaceae,Cryptonemiales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Hypnea musciformis,Hypnea,Hypneaceae,Gigartinales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
