Year,FG_num,FG_name,mean_density,n_areas_contributing,n_samples_total
2002,50,Red mullet,0.0848038978319823,6,371
2002,51,Surmullet,0.0212088302234438,7,473
2002,60,Coastal benthic cephalopods,0.118997082459807,6,335
2002,34,Common pandora,0.128015524702678,6,258
2002,72,European lobster,0.0132673491445557,3,33
2002,77,Sea cucumbers,0.00482881660386852,5,310
2002,58,Rays and skates,0.160654523480957,7,455
2002,19,European sardine adult,2.21342266323095,6,294
2002,40,Scorpaenidae+,0.179135895752252,7,485
2002,39,Red scorpionfish,0.0318272803848357,5,119
2002,55,Small-spotted catshark,0.113747478052402,7,435
2002,24,Other small pelagic fish,0.390247817527582,6,290
2002,59,Torpedos,0.0112684011712689,6,306
2002,17,Horse mackerels,1.83391819128682,7,485
2002,45,Other commercial medium demersal fish,0.0839483271144044,7,479
2003,61,Benthopelagic cephalopods,0.0927226659434187,7,524
2003,74,Non-commercial decapods,0.116759499127365,7,500
2003,45,Other commercial medium demersal fish,0.090763181911804,7,524
2003,44,Flatfishes,0.172818426023868,7,524
2003,65,Gastropods,0.000622718496439493,4,315
2003,53,No commercial small demersal fish,0.216646131331902,7,524
2003,35,Sparidae+,1.56664796432311,7,524
2003,46,No commercial medium demersal fish,0.0453764954327035,7,415
2003,40,Scorpaenidae+,0.197929275949968,7,524
2003,28,European conger,0.0295583013763453,7,459
2003,37,Common two-banded seabream,0.00932690982727727,4,149
2003,21,European anchovy juv.,2.50848104170753,7,390
2003,29,European hake juv.,0.547021178472019,7,524
2003,50,Red mullet,0.113151964159268,7,460
2003,51,Surmullet,0.0177315296103415,7,524
2003,57,Other small demersal sharks,0.021703663514641,7,300
2003,60,Coastal benthic cephalopods,0.0710901258884945,7,455
2003,34,Common pandora,0.0836220190358724,7,304
2003,58,Rays and skates,0.265600058240278,7,502
2003,19,European sardine adult,4.67067290832433,7,370
2003,23,Round sardinella,0.277834982734878,4,90
2003,16,Mackerels,0.323207982569871,7,360
2003,55,Small-spotted catshark,0.125628965544317,7,450
2003,63,Other benthic cephalopods,0.0859253203757588,7,524
2003,43,Labridae and serranidae+,0.0356230738096719,7,475
2003,24,Other small pelagic fish,0.49279649911171,7,403
2003,73,Other commercial decapods,0.00682876506346165,6,303
2003,59,Torpedos,0.0105333944882674,7,248
2003,17,Horse mackerels,1.58170711252799,7,524
2004,61,Benthopelagic cephalopods,0.0680801064574303,8,503
2004,74,Non-commercial decapods,0.1388574068346,8,443
2004,49,Transparent gobies,0.0383519352665822,4,157
2004,44,Flatfishes,0.131910069243413,8,503
2004,53,No commercial small demersal fish,0.130987797894728,8,502
2004,65,Gastropods,0.00143334828524605,5,265
2004,35,Sparidae+,1.36310371391309,8,502
2004,28,European conger,0.0186478087434414,7,445
2004,38,Common dentex,1.33981242806344,1,4
2004,37,Common two-banded seabream,0.0224107886595981,6,117
2004,46,No commercial medium demersal fish,0.0576494817109722,8,384
2004,63,Other benthic cephalopods,0.0858403579897388,8,503
2004,21,European anchovy juv.,2.61408088143968,6,257
2004,40,Scorpaenidae+,0.157482631193483,8,503
2004,27,Anglerfish,0.11694396303547,8,502
2004,73,Other commercial decapods,0.00471497462566081,6,261
2004,29,European hake juv.,0.446860764198197,8,503
2004,64,Bivalves,0.00924183605972284,4,183
2004,50,Red mullet,0.0881827051538637,7,449
2004,51,Surmullet,0.0332581829027947,8,412
2004,58,Rays and skates,0.298054943114462,8,483
2004,71,Norway lobster,0.0968030424031131,8,330
2004,60,Coastal benthic cephalopods,0.0685033462751288,8,365
2004,34,Common pandora,0.0700348367190873,7,283
2004,77,Sea cucumbers,0.00574571017132039,4,177
2004,19,European sardine adult,1.99032176317615,6,273
2004,23,Round sardinella,0.0358077349354949,4,96
2004,16,Mackerels,0.702284113815373,5,184
2004,55,Small-spotted catshark,0.115418644216559,8,447
2004,43,Labridae and serranidae+,0.0427306630061921,8,363
2004,18,Other medium pelagic fishes,0.0519278033125517,6,117
2004,24,Other small pelagic fish,0.450783460986206,8,419
2004,59,Torpedos,0.00472213642263169,7,322
2004,17,Horse mackerels,2.44176451830201,8,503
2004,45,Other commercial medium demersal fish,0.0794259345089511,8,495
